     N       log(N)     log(diff)
      10 1.00000000e+00 -3.85421813e-01
      20 1.30103000e+00 -4.91044939e-01
      40 1.60205999e+00 -5.77324331e-01
      80 1.90308999e+00 -6.49867892e-01
     160 2.20411998e+00 -7.12271750e-01
     320 2.50514998e+00 -7.66939461e-01
     640 2.80617997e+00 -8.15541387e-01
    1280 3.10720997e+00 -8.59270215e-01
    2560 3.40823997e+00 -8.99006844e-01
    5120 3.70926996e+00 -9.35415745e-01
   10240 4.01029996e+00 -9.69005466e-01
   20480 4.31132995e+00 -1.00019479e+00
   40960 4.61235995e+00 -1.02925980e+00
   81920 4.91338994e+00 -1.05660009e+00
  163840 5.21441994e+00 -1.08183599e+00
  327680 5.51544993e+00 -1.10749030e+00
  655360 5.81647993e+00 -1.12236547e+00
 1310720 6.11750993e+00 -1.15525794e+00
 2621440 6.41853992e+00 -1.15284145e+00
 5242880 6.71956992e+00 -1.63241637e+00
10485760 7.02059991e+00 -1.67424130e+00
