       dim    logdim  logerror
         1         0 -0.250678
         2   0.30103 -0.509189
         3  0.477121 -0.698618
         4   0.60206 -0.859256
         5   0.69897  -1.00723
         6  0.778151  -1.15232
         7  0.845098  -1.30304
         8   0.90309  -1.46996
         9  0.954243  -1.67036
        10         1  -1.93607
        11   1.04139  -2.31596
        12   1.07918  -2.81196
        13   1.11394  -3.19879
        14   1.14613  -3.35919
        15   1.17609  -3.52341
        16   1.20412  -3.94886
        17   1.23045  -5.03765
        18   1.25527  -5.94762
        19   1.27875  -6.01016
        20   1.30103  -4.96113
        21   1.32222  -4.59314
        22   1.34242  -4.59314
        23   1.36173   -4.5836
        24   1.38021  -4.52504
        25   1.39794  -4.49973
        26   1.41497  -4.48226
        27   1.43136   -4.4821
        28   1.44716  -4.45361
        29    1.4624  -4.45094
        30   1.47712  -4.44505
        31   1.49136  -4.43063
        32   1.50515  -4.43058
        33   1.51851  -4.42177
        34   1.53148  -4.41603
        35   1.54407  -4.41492
        36    1.5563  -4.40735
        37    1.5682  -4.40488
        38   1.57978  -4.40336
        39   1.59106  -4.39751
        40   1.60206  -4.39601
        41   1.61278  -4.39483
        42   1.62325  -4.39029
        43   1.63347  -4.38886
        44   1.64345  -4.38829
