# 3D harmonic oscillator
# eigenvalue = 1.500127e+00

#   r       u(r)
0.050000 9.987715e-03
0.100000 1.993799e-02
0.150000 2.981361e-02
0.200000 3.957784e-02
0.250000 4.919464e-02
0.300000 5.862886e-02
0.350000 6.784650e-02
0.400000 7.681488e-02
0.450000 8.550287e-02
0.500000 9.388102e-02
0.550000 1.019218e-01
0.600000 1.095995e-01
0.650000 1.168909e-01
0.700000 1.237748e-01
0.750000 1.302324e-01
0.800000 1.362473e-01
0.850000 1.418058e-01
0.900000 1.468965e-01
0.950000 1.515107e-01
1.000000 1.556421e-01
1.050000 1.592871e-01
1.100000 1.624445e-01
1.150000 1.651155e-01
1.200000 1.673037e-01
1.250000 1.690151e-01
1.300000 1.702576e-01
1.350000 1.710415e-01
1.400000 1.713788e-01
1.450000 1.712832e-01
1.500000 1.707704e-01
1.550000 1.698573e-01
1.600000 1.685622e-01
1.650000 1.669046e-01
1.700000 1.649051e-01
1.750000 1.625850e-01
1.800000 1.599664e-01
1.850000 1.570717e-01
1.900000 1.539240e-01
1.950000 1.505463e-01
2.000000 1.469618e-01
2.050000 1.431936e-01
2.100000 1.392644e-01
2.150000 1.351968e-01
2.200000 1.310128e-01
2.250000 1.267337e-01
2.300000 1.223804e-01
2.350000 1.179727e-01
2.400000 1.135297e-01
2.450000 1.090697e-01
2.500000 1.046098e-01
2.550000 1.001662e-01
2.600000 9.575407e-02
2.650000 9.138738e-02
2.700000 8.707906e-02
2.750000 8.284092e-02
2.800000 7.868365e-02
2.850000 7.461685e-02
2.900000 7.064900e-02
2.950000 6.678755e-02
3.000000 6.303889e-02
3.050000 5.940840e-02
3.100000 5.590051e-02
3.150000 5.251874e-02
3.200000 4.926570e-02
3.250000 4.614320e-02
3.300000 4.315226e-02
3.350000 4.029320e-02
3.400000 3.756564e-02
3.450000 3.496861e-02
3.500000 3.250057e-02
3.550000 3.015948e-02
3.600000 2.794283e-02
3.650000 2.584772e-02
3.700000 2.387090e-02
3.750000 2.200880e-02
3.800000 2.025760e-02
3.850000 1.861325e-02
3.900000 1.707153e-02
3.950000 1.562807e-02
4.000000 1.427840e-02
4.050000 1.301796e-02
4.100000 1.184216e-02
4.150000 1.074636e-02
4.200000 9.725936e-03
4.250000 8.776264e-03
4.300000 7.892753e-03
4.350000 7.070854e-03
4.400000 6.306060e-03
4.450000 5.593919e-03
4.500000 4.930033e-03
4.550000 4.310054e-03
4.600000 3.729678e-03
4.650000 3.184641e-03
4.700000 2.670697e-03
4.750000 2.183609e-03
4.800000 1.719125e-03
4.850000 1.272949e-03
4.900000 8.407128e-04
4.950000 4.179399e-04
