# omega0=1, alpha=0
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
25.0963 4.110989934751604e-01 6.632880078172253e-01
2.518745692079817e+01 4.698491998253779e-01 6.243874823119219e-01
2.527864974093140e+01 5.248376036724655e-01 5.808590465997844e-01
2.536984256106463e+01 5.756624942306309e-01 5.331512384312437e-01
2.546103538119786e+01 6.219636826724205e-01 4.817244236831905e-01
2.555222820133109e+01 6.634231319914479e-01 4.270412575780662e-01
2.564342102146432e+01 6.997648050404540e-01 3.695591252482678e-01
2.573461384159755e+01 7.307539217036232e-01 3.097247609386562e-01
2.582580666173078e+01 7.561958264135337e-01 2.479710750029230e-01
2.591699948186401e+01 7.759346630876424e-01 1.847160737624115e-01
2.600819230199724e+01 7.898520386758390e-01 1.203636440561251e-01
2.609938512213047e+01 7.978658317085853e-01 5.530589154209905e-02
2.619057794226370e+01 7.999292711371950e-01 -1.007333433325926e-02
2.628177076239693e+01 7.960303755474835e-01 -7.539413078833200e-02
2.637296358253016e+01 7.861918051770828e-01 -1.402758690329578e-01
2.646415640266340e+01 7.704711402963287e-01 -2.043325878491113e-01
2.655534922279663e+01 7.489615603511166e-01 -2.671688814082906e-01
2.664654204292986e+01 7.217928596626348e-01 -3.283766981922552e-01
2.673773486306309e+01 6.891326984309142e-01 -3.875334442334553e-01
2.682892768319632e+01 6.511879536435281e-01 -4.442017429886789e-01
2.692012050332955e+01 6.082060050759165e-01 -4.979311403594845e-01
2.701131332346278e+01 5.604757692193435e-01 -5.482619515049635e-01
2.710250614359601e+01 5.083282814053517e-01 -5.947313231823191e-01
2.719369896372924e+01 4.521366264318092e-01 -6.368814324510966e-01
2.728489178386247e+01 3.923150331136979e-01 -6.742695663474177e-01
2.737608460399570e+01 3.293169799602382e-01 -7.064796407084208e-01
2.746727742412893e+01 2.636322077117315e-01 -7.331345389761317e-01
2.755847024426216e+01 1.957825978755401e-01 -7.539085070597882e-01
2.764966306439539e+01 1.263169505888406e-01 -7.685387525018982e-01
2.774085588452862e+01 5.580477393326034e-02 -7.768353857755030e-01
2.783204870466185e+01 -1.517072744956110e-02 -7.786889203916904e-01
2.792324152479508e+01 -8.602021215951448e-02 -7.740747160065101e-01
2.801443434492831e+01 -1.561560123547447e-01 -7.630539902109617e-01
2.810562716506154e+01 -2.249998754576657e-01 -7.457713128066807e-01
2.819681998519477e+01 -2.919903239607036e-01 -7.224487953924612e-01
2.828801280532800e+01 -3.565893522020895e-01 -6.933774612997464e-01
2.837920562546123e+01 -4.182882334619593e-01 -6.589064934794530e-01
2.847039844559446e+01 -4.766122809761834e-01 -6.194311885487527e-01
2.856159126572769e+01 -5.311244845029777e-01 -5.753804852027656e-01
2.865278408586092e+01 -5.814280217760238e-01 -5.272048896458311e-01
2.874397690599415e+01 -6.271677144018609e-01 -4.753655057033699e-01
2.883516972612738e+01 -6.680305551809368e-01 -4.203247155721458e-01
2.892636254626061e+01 -7.037454753122164e-01 -3.625388732451913e-01
2.901755536639384e+01 -7.340825444911987e-01 -3.024531885523153e-01
2.910874818652707e+01 -7.588518053267603e-01 -2.404988122725069e-01
2.919994100666030e+01 -7.779019378190593e-01 -1.770919922289329e-01
2.929113382679353e+01 -7.911189325462811e-01 -1.126350607756697e-01
2.938232664692676e+01 -7.984249255245867e-01 -4.751893474247793e-02
2.947351946705999e+01 -7.997773160125417e-01 1.787324441697443e-02
2.956471228719322e+01 -7.951682529519959e-01 8.316173539584196e-02
2.965590510732645e+01 -7.846245378843936e-01 1.479655096576432e-01
2.974709792745968e+01 -7.682079532312808e-01 2.118976816003543e-01
2.983829074759291e+01 -7.460159856873906e-01 2.745614834625427e-01
2.992948356772614e+01 -7.181828759991180e-01 3.355471997540291e-01
3.002067638785937e+01 -6.848808896200420e-01 3.944304505625915e-01
3.011186920799260e+01 -6.463216690474742e-01 4.507721697565362e-01
3.020306202812583e+01 -6.027574999397523e-01 5.041205572012326e-01
3.029425484825906e+01 -5.544823017821454e-01 5.540151886319249e-01
3.038544766839229e+01 -5.018321426589739e-01 5.999933401864428e-01
