# omega0=1, alpha=0.2
# theta0=-0.79, theta_dot0=0.1234
# t_start=0, t_end=50, h=0.0116355
#   t          x(t)                 v(t)       
25.1211 -7.889438102289367e+00 2.070796615084511e+00
2.523746098383916e+01 -7.641409821898311e+00 2.190668364521395e+00
2.535381626730547e+01 -7.380215621098848e+00 2.295848224588956e+00
2.547017155077177e+01 -7.108007080542581e+00 2.378730053424309e+00
2.558652683423808e+01 -6.827803906053278e+00 2.432170103100993e+00
2.570288211770438e+01 -6.543378073278613e+00 2.450561326738066e+00
2.581923740117069e+01 -6.259016130816287e+00 2.430801873078822e+00
2.593559268463699e+01 -5.979189847184223e+00 2.372856405369767e+00
2.605194796810330e+01 -5.708195597874566e+00 2.279715224598438e+00
2.616830325156960e+01 -5.449834003738398e+00 2.156764376402287e+00
2.628465853503591e+01 -5.207187426039730e+00 2.010781195289005e+00
2.640101381850221e+01 -4.982521329083078e+00 1.848860382932048e+00
2.651736910196852e+01 -4.777301511094285e+00 1.677530222780974e+00
2.663372438543482e+01 -4.592295979015581e+00 1.502191900957626e+00
2.675007966890113e+01 -4.427722552499294e+00 1.326886381540014e+00
2.686643495236743e+01 -4.283408007266115e+00 1.154312982812589e+00
2.698279023583374e+01 -4.158935301417637e+00 9.859991924683249e-01
2.709914551930004e+01 -4.053766617238584e+00 8.225341028381830e-01
2.721550080276635e+01 -3.967338584311999e+00 6.638056067970781e-01
2.733185608623265e+01 -3.899131375126017e+00 5.092088218700966e-01
2.744821136969896e+01 -3.848715889681561e+00 3.578135105067874e-01
2.756456665316526e+01 -3.815783872198997e+00 2.084907702894227e-01
2.768092193663157e+01 -3.800165346265721e+00 6.000576327025029e-02
2.779727722009787e+01 -3.801836781023566e+00 -8.891400030155398e-02
2.791363250356418e+01 -3.820922233872716e+00 -2.395244783602727e-01
2.802998778703048e+01 -3.857688502167863e+00 -3.930145634688621e-01
2.814634307049679e+01 -3.912534101696306e+00 -5.504487680108600e-01
2.826269835396309e+01 -3.985970677093678e+00 -7.126927351890429e-01
2.837905363742940e+01 -4.078594258054832e+00 -8.803116160239771e-01
