# omega0=1, alpha=1.7
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  1.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 9.960580035972377e-02 -8.421872685884464e-03
1.823856402664613e-01 9.850268665910067e-02 -1.556977816153332e-02
2.735784603996920e-01 9.680091565241944e-02 -2.157190155360596e-02
3.647712805329227e-01 9.459949815852725e-02 -2.654677716587888e-02
4.559641006661534e-01 9.198705748638888e-02 -3.060376494019495e-02
5.471569207993838e-01 8.904264412400037e-02 -3.384353213851017e-02
6.383497409326140e-01 8.583650648811711e-02 -3.635853444963291e-02
7.295425610658441e-01 8.243081800730921e-02 -3.823349187350895e-02
8.207353811990743e-01 7.888036118812011e-02 -3.954585572978817e-02
9.119282013323045e-01 7.523316960790806e-02 -4.036626397496982e-02
1.003121021465535e+00 7.153112900211768e-02 -4.075898270451903e-02
1.094313841598765e+00 6.781053878079128e-02 -4.078233227972123e-02
1.185506661731995e+00 6.410263542997162e-02 -4.048909697251490e-02
1.276699481865225e+00 6.043407933743769e-02 -3.992691738368835e-02
1.367892301998455e+00 5.682740663648866e-02 -3.913866517765332e-02
1.459085122131685e+00 5.330144769233517e-02 -3.816279990533483e-02
1.550277942264916e+00 4.987171386790948e-02 -3.703370786798536e-02
1.641470762398146e+00 4.655075420338087e-02 -3.578202311907446e-02
1.732663582531376e+00 4.334848362934463e-02 -3.443493081687594e-02
1.823856402664606e+00 4.027248430987781e-02 -3.301645323323626e-02
1.915049222797836e+00 3.732828168025477e-02 -3.154771879903676e-02
2.006242042931067e+00 3.451959670654790e-02 -3.004721462765040e-02
2.097434863064297e+00 3.184857585177093e-02 -2.853102300690310e-02
2.188627683197527e+00 2.931600018661959e-02 -2.701304238964557e-02
2.279820503330757e+00 2.692147503303156e-02 -2.550519344447010e-02
2.371013323463987e+00 2.466360147641963e-02 -2.401761075244803e-02
2.462206143597217e+00 2.254013102813511e-02 -2.255882075384118e-02
2.553398963730448e+00 2.054810466403324e-02 -2.113590656120743e-02
2.644591783863678e+00 1.868397740842543e-02 -1.975466026272128e-02
2.735784603996908e+00 1.694372957565392e-02 -1.841972334233832e-02
2.826977424130138e+00 1.532296572441151e-02 -1.713471584208647e-02
2.918170244263368e+00 1.381700232311323e-02 -1.590235488667540e-02
3.009363064396598e+00 1.242094506843040e-02 -1.472456318218044e-02
3.100555884529828e+00 1.112975674380825e-02 -1.360256808916217e-02
3.191748704663059e+00 9.938316450658612e-03 -1.253699185660903e-02
3.282941524796289e+00 8.841470992167571e-03 -1.152793358690024e-02
3.374134344929519e+00 7.834079138470498e-03 -1.057504348393452e-02
3.465327165062749e+00 6.911049452477294e-03 -9.677589916989859e-03
3.556519985195979e+00 6.067372308004823e-03 -8.834519812085972e-03
3.647712805329209e+00 5.298146686187577e-03 -8.044512860908768e-03
3.738905625462440e+00 4.598602292463460e-03 -7.306030014992973e-03
3.830098445595670e+00 3.964117494816935e-03 -6.617356710092179e-03
3.921291265728900e+00 3.390233544433305e-03 -5.976641242714202e-03
4.012484085862130e+00 2.872665502483256e-03 -5.381928697860146e-03
4.103676905995361e+00 2.407310261406990e-03 -4.831190804249300e-03
