    x     sig_the   sig_cubi   sig_line   sig_poly   
0.000000   9.341764  10.600000  10.600000  10.600000
5.000000   10.500801  10.888746  11.680000  49.322569
10.000000   11.876772  11.375305  12.760000  53.542730
15.000000   13.523094  12.257492  13.840000  42.280962
20.000000   15.508768  13.733119  14.920000  27.512600
25.000000   17.923007  16.000000  16.000000  16.000000
30.000000   20.880647  19.246935  21.800000  10.794503
35.000000   24.527397  23.626671  27.600000  12.445989
40.000000   29.042154  29.282939  33.400000  19.955772
45.000000   34.629454  36.359471  39.200000  31.506414
50.000000   41.486772  45.000000  45.000000  45.000000
55.000000   49.717954  55.098712  53.100000  58.434237
60.000000   59.152974  65.551611  61.200000  70.143704
65.000000   69.062416  75.005153  69.300000  78.931414
70.000000   77.903078  82.105797  77.400000  84.113787
75.000000   83.502123  85.500000  85.500000  85.500000
80.000000   84.051299  84.260616  78.960000  83.324586
85.000000   79.354238  79.166085  72.420000  78.150043
90.000000   70.980283  71.421247  65.880000  70.754119
95.000000   61.133700  62.230940  59.340000  62.014304
100.000000   51.521871  52.800000  52.800000  52.800000
105.000000   43.023060  44.138825  46.220000  43.880681
110.000000   35.893835  36.480047  39.640000  35.856297
115.000000   30.067051  29.861857  33.060000  29.114038
120.000000   25.354628  24.322444  26.480000  23.813474
125.000000   21.549616  19.900000  19.900000  19.900000
130.000000   18.466874  16.592083  18.080000  17.144375
135.000000   15.954060  14.233725  16.260000  15.204074
140.000000   13.890549  12.619325  14.440000  13.700040
145.000000   12.182451  11.543284  12.620000  12.300323
150.000000   10.757123  10.800000  10.800000  10.800000
155.000000   9.558356  10.210842  10.290000  9.184641
160.000000   8.542495  9.705053  9.780000  7.662505
165.000000   7.675445  9.238842  9.270000  6.648517
170.000000   6.930398  8.768421  8.760000  6.680999
175.000000   6.286122  8.250000  8.250000  8.250000
180.000000   5.725678  7.650147  7.540000  11.513973
185.000000   5.235452  6.976863  6.830000  15.879439
190.000000   4.804421  6.248505  6.120000  19.416178
195.000000   4.423599  5.483432  5.410000  18.078368
200.000000   4.085612  4.700000  4.700000  4.700000
