# uniform1 uniform2 gaussian1 gaussian2
  0.271144 0.407626 -0.472778 -0.605311
  0.149936 0.142429 -1.232594 0.850154
  0.534950 0.134464 2.081845 0.644438
  0.154592 0.755222 -0.842295 -0.434051
  0.037587 0.770971 -1.773679 0.058305
  0.420160 0.698491 2.118994 0.371102
  0.198286 0.878088 1.378817 0.621336
  0.827522 0.635649 -0.173784 0.238777
  0.952326 0.815725 -0.853196 -1.381464
  0.133786 0.546460 -1.705345 -0.516954
  0.985263 0.324087 1.433660 0.495625
  0.581743 0.485098 0.354772 0.527722
  0.318454 0.578407 0.104639 -0.573605
  0.507401 0.818730 0.209825 0.439051
  0.014730 0.851118 0.368772 0.888665
  0.478292 0.910703 -0.567819 -0.319052
  0.175846 0.406043 -0.972382 -0.325874
  0.673291 0.092847 0.684633 0.510648
  0.072124 0.793991 -0.068921 1.229419
  0.968347 0.306853 1.533645 -0.917637
  0.403342 0.863152 -1.646775 -0.371346
  0.482125 0.177773 0.915034 2.699495
  0.293319 0.397914 -0.813647 1.070132
  0.107406 0.914860 -0.733408 -0.300132
  0.079832 0.631049 -1.306887 -1.120890
  0.152364 0.863058 -0.357861 0.838103
  0.810177 0.766103 0.101075 0.479498
  0.496806 0.013986 -0.117938 0.701921
  0.128365 0.840429 0.724374 -1.679303
  0.831553 0.927750 -0.476818 0.882374
  0.610230 0.816675 -0.430698 1.071563
  0.366059 0.027537 0.625678 -2.273332
  0.829596 0.810268 -1.040652 -3.156427
  0.996478 0.347185 -1.043352 -1.325150
  0.339801 0.862796 1.349873 -0.263537
  0.588161 0.786351 -2.179293 -1.864347
  0.402093 0.140061 0.381023 0.197163
  0.232422 0.289254 0.187782 -1.526756
  0.894161 0.870718 -0.614575 1.606123
  0.109957 0.919949 -0.662507 -0.232195
  0.946076 0.493239 -0.582892 -0.182560
  0.889227 0.637374 -1.222082 -0.652667
  0.434286 0.147276 -0.583556 -0.217828
  0.086112 0.723835 1.836966 0.412324
  0.149908 0.822978 -0.961665 0.388284
  0.044300 0.428665 0.143367 0.113594
  0.059905 0.176865 -0.481203 -0.700986
  0.496337 0.436762 0.597587 -0.151627
  0.615045 0.129283 -1.597769 -0.914515
  0.182178 0.097003 1.035953 -1.009588
  0.837951 0.913652 -0.414217 -0.447905
  0.396425 0.089061 0.950723 1.268521
  0.382999 0.855539 -0.843453 -0.033167
  0.346704 0.166559 1.828160 0.137426
  0.358084 0.250155 1.064223 -0.080417
  0.105297 0.632546 -0.713425 -1.002676
  0.785110 0.850641 -0.037542 -0.853009
  0.838511 0.551547 0.171716 -0.490907
  0.028932 0.369057 -0.035608 -1.721159
  0.939200 0.605315 0.292160 -0.042963
  0.654542 0.926726 0.266334 -0.666023
  0.760234 0.211598 0.070357 1.653202
  0.263153 0.072010 1.583445 1.086046
  0.303695 0.844759 -1.747010 2.348479
  0.503433 0.691582 -1.770433 0.245874
  0.140137 0.544850 0.951856 0.785719
  0.627252 0.609906 1.077273 -0.198644
  0.445075 0.071633 1.648721 0.200476
  0.097725 0.189789 -0.439729 -0.151032
  0.389629 0.388695 0.663851 -0.030045
  0.072858 0.463507 0.009965 0.074758
  0.742686 0.583722 0.356021 -1.875452
  0.486295 0.556929 -0.760096 0.057656
  0.137226 0.820221 -1.060433 0.236531
  0.959041 0.802056 0.368654 0.944758
  0.508251 0.102897 1.049161 -0.531215
  0.858000 0.596443 -2.540058 0.777277
  0.632619 0.489943 0.668444 -0.451034
  0.336037 0.083751 -1.747243 1.081097
  0.204933 0.609846 1.607144 -0.596784
  0.714743 0.307365 2.007757 -0.088306
  0.157937 0.782410 0.117704 1.298587
  0.008025 0.238481 -0.682000 1.569007
  0.402341 0.735961 -0.678239 1.242221
  0.453773 0.503343 -0.335673 1.009072
  0.510794 0.938439 -0.654829 0.232087
  0.332446 0.256055 1.882276 -0.794506
  0.694675 0.445763 -1.135304 -1.440778
  0.896639 0.575504 -1.964188 1.375312
  0.914861 0.567958 -0.163917 0.328995
  0.226630 0.770245 -1.365890 -0.086185
  0.497389 0.910022 1.469668 1.468446
  0.189793 0.115800 0.382058 -0.376546
  0.813783 0.846983 -0.156129 0.187805
  0.179473 0.216448 -0.099423 1.066446
  0.858817 0.019191 -0.730741 0.613455
  0.163314 0.057601 0.917601 -0.890826
  0.913856 0.748091 -1.203495 0.475568
  0.431463 0.905221 0.618685 -1.660363
  0.765121 0.770599 0.537533 -0.437370
  0.279955 0.442552 0.020238 -0.576097
  0.648650 0.326068 0.101139 -0.719125
  0.678863 0.770694 0.268290 0.627864
  0.782276 0.979348 -0.189962 0.218900
  0.163198 0.088591 0.826942 -0.136612
  0.863150 0.180225 -0.189424 0.511520
  0.603788 0.831706 -1.524636 -0.834054
  0.819532 0.667678 0.535186 -1.313290
  0.553469 0.489510 1.201209 -0.211304
  0.165860 0.918733 2.149567 1.279333
  0.505951 0.116407 0.735120 -0.091537
  0.844882 0.973253 -0.872911 -0.774349
  0.296543 0.639305 0.918134 -0.422047
  0.179655 0.680043 0.089536 1.592573
  0.889334 0.056999 1.019251 0.425745
  0.227002 0.656831 0.497151 -1.120131
  0.413154 0.630774 1.194251 -0.521186
  0.706077 0.795352 0.843337 -1.056777
  0.537795 0.026348 -0.449137 0.039113
  0.443553 0.077022 -0.079806 0.504251
  0.705400 0.152931 -1.869133 0.363239
  0.795060 0.702037 -1.277664 -1.344860
  0.390575 0.466853 -0.852086 -0.522074
  0.480271 0.884453 -0.083686 1.381380
  0.625447 0.636547 0.446073 -0.037685
  0.042104 0.925112 -2.001045 0.595968
  0.238655 0.047242 0.121979 2.103444
